uL_thio,current,n,change
0,188.84,1,1
357.68,78.92,2,1
507.18,51.5,3,1
604.7,38.9,4,1
678.39,26.06,5,1
727.74,19.51,6,1
764.72,16.45,7,1
795.78,13.21,8,1
820.78,9.09,9,1
838.02,7.16,10,1
851.58,5.97,11,1
862.9,3.29,12,1
869.08,2.57,13,1
873.95,1.89,14,1
877.5,1.45,15,1
880.14,0.92,16,1
881.85,0.73,17,1
883.16,0.52,18,1
884.08,0.39,19,1
884.74,0.33,20,1
885.27,0.22,21,1
885.66,0.15,22,1
885.93,0.09,23,1
886.06,0.07,24,2
886.19,0.05,25,3
886.32,0.02,26,4
886.45,0,27,5
886.58,0.04,28,6
886.72,0.01,29,7
