uL_thio,current,n,change
0,175.5,1,1
332.42,80.28,2,1
484.55,64.1,3,1
606.01,46.93,4,1
694.84,32.23,5,1
755.91,19.39,6,1
792.62,14.38,7,1
819.86,10.72,8,1
840.13,7.86,9,1
855,5.29,10,1
865,4.27,11,1
873.03,2.54,12,1
877.77,2.12,13,1
881.72,1.36,14,1
884.22,0.95,15,1
885.93,0.7,16,1
887.24,0.5,17,1
888.16,0.39,18,1
888.82,0.24,19,1
889.22,0.17,20,1
889.48,0.12,21,1
889.61,0.06,22,1
889.74,0.05,23,2
889.87,0.08,24,3
890.01,0,25,3
890.14,0.01,26,4
890.27,0.01,27,5
890.4,0,28,6
890.53,0,29,7
