uL_thio,current,n,change
0,135.61,1,1
249.64,89.29,2,1
512.84,54.71,3,1
674.05,34.58,4,1
775.91,19.51,5,1
811.84,16.58,6,1
842.37,12.08,7,1
864.61,11.31,8,1
885.4,9.39,9,1
902.64,6.67,0,1
914.88,4.89,1,1
923.83,2.95,2,1
929.22,2.92,3,2
934.49,2.31,4,2
938.7,1.63,5,2
941.59,1.24,6,2
943.83,1.05,7,2
945.67,0.77,8,2
946.99,0.61,9,2
948.04,0.53,0,2
948.96,0.46,1,2
949.75,0.49,2,3
950.54,0.19,3,3
950.67,0.13,4,3
950.81,0.09,5,4
950.94,0.05,6,5
951.07,0.05,7,6
951.2,0.04,8,7
951.33,0.06,9,8
