uL_thio,current,n,change
0,255.78,1,1
493.36,120.17,2,1
730.51,81.39,3,1
987.52,35.44,4,1
1099.38,19.76,5,1
1138.34,15.87,6,1
1169.66,9.97,7,1
1189.26,9.09,8,1
1207.16,5.67,9,1
1218.35,4.44,10,1
1227.03,2.74,11,1
1232.43,2.23,12,1
1236.77,1.59,13,1
1239.8,0.96,14,1
1241.64,0.78,15,1
1243.09,0.6,16,1
1244.27,0.45,17,1
1245.06,0.33,18,1
1245.19,0.27,19,1
1245.33,0.3,20,2
1245.46,0.24,21,2
1245.59,0.09,22,2
1245.72,0.19,23,2
1245.85,0.18,24,3
1245.98,0.18,25,4
1246.12,0.16,26,5
1246.25,0.1,27,5
1246.38,0.12,28,6
1246.51,0.06,29,6
