uL_thio,current,n,change
0,147.1,1,1
278.59,94.97,2,1
458.49,67.55,3,1
586.4,45.2,4,1
671.94,36.31,5,1
740.64,20.62,6,1
779.73,17.22,7,1
812.36,13.24,8,1
837.37,10.42,9,1
857.11,6.8,10,1
869.87,4.9,11,1
879.08,3.83,12,1
886.32,2.81,13,1
891.59,1.94,14,1
895.27,1.34,15,1
897.77,0.99,16,1
899.61,0.61,17,1
900.67,0.43,18,1
901.46,0.3,19,1
901.98,0.2,20,1
902.24,0.14,21,1
902.51,0.1,22,2
902.64,0.11,23,3
902.77,0.02,24,3
902.9,0.03,25,4
903.03,0.02,26,5
903.17,0.02,27,6
903.3,0.02,28,7
903.43,0.01,29,8
