uL_thio,current,n,change
0,162.9,1,1
308.47,100.9,2,1
499.68,70.15,3,1
632.6,48.16,4,1
723.8,31.86,5,1
784.07,27.54,6,1
836.18,15.94,7,1
866.32,11.2,8,1
887.51,6.55,9,1
899.88,5.45,10,1
910.14,3.7,11,1
917.12,2.34,12,1
921.46,1.94,13,1
925.01,1.19,14,1
927.25,0.79,15,1
928.7,0.62,16,1
929.75,0.4,17,1
930.41,0.28,18,1
930.93,0.16,19,1
931.2,0.13,20,2
931.46,0.08,21,2
931.59,0.17,22,2
931.85,0.04,23,2
931.99,0.01,24,3
932.12,0.01,25,4
932.25,0.02,26,5
932.38,0.01,27,6
932.51,0,28,7
932.64,0,29,8
