uL_thio,current,n,change
0,188.84,1,1
298.07,98.43,2,1
453.49,82.25,3,1
583.38,50.02,4,1
662.34,35.2,5,1
717.87,28.16,6,1
762.22,18.01,7,1
790.65,14.09,8,1
812.89,10.51,9,1
829.47,7.25,10,1
840.92,5.18,11,1
849.08,3.52,12,1
854.61,2.39,13,1
858.29,1.8,14,1
861.05,1.2,15,1
862.9,0.98,16,1
864.34,0.65,17,1
865.27,0.48,18,1
865.92,0.34,19,1
866.45,0.25,20,1
866.84,0.19,21,1
867.11,0.13,22,1
867.24,0.08,23,1
867.37,0.08,24,2
867.5,0.07,25,3
867.63,0.04,26,4
867.77,0.02,27,5
867.9,0.01,28,6
868.03,0,29,7
