uL_thio,current,n,change
0,143.02,1,1
315.97,108.31,2,1
555.35,53.72,3,1
674.05,50.88,4,1
786.44,31.37,5,1
855.79,20.87,6,1
901.85,17.36,7,1
940.15,9.89,8,1
961.99,6.76,9,1
976.86,4.67,10,1
987.13,3.68,11,1
995.15,2.33,12,1
1000.29,1.86,13,1
1004.37,1.14,14,1
1006.87,0.81,15,1
1008.58,0.51,16,1
1009.63,0.36,17,1
1010.42,0.22,18,1
1010.81,0.16,19,1
1011.08,0.11,20,1
1011.21,0.08,21,2
1011.34,0.03,22,3
1011.47,0.05,23,4
1011.6,0.03,24,5
1011.74,0,25,6
1011.87,0.14,26,6
1012.13,0.01,27,6
1012.26,0.02,28,7
1012.39,0.01,29,8
