uL_thio,current,n,change
0,137.21,1,1
259.77,102.63,2,1
454.15,71.51,3,1
589.56,47.05,4,1
678.66,33.59,5,1
742.22,23.21,6,1
786.17,19.2,7,1
822.5,13.09,8,1
847.24,9.76,9,1
865.66,6.28,10,1
877.5,4.9,11,1
886.72,3.26,12,1
892.9,2.44,13,1
897.51,1.67,14,1
900.67,1.15,15,1
902.77,0.83,16,1
904.35,0.57,17,1
905.4,0.42,18,1
906.19,0.27,19,1
906.59,0.2,20,1
906.85,0.15,21,1
907.11,0.08,22,1
907.25,0.06,23,2
907.38,0.06,24,3
907.51,0.03,25,4
907.64,0.03,26,5
907.77,0.01,27,6
907.9,0.02,28,7
908.04,0.02,29,8
