uL_thio,current,n,change
0,187.85,1,1
296.49,119.92,2,1
485.86,81.64,3,1
614.7,60.39,4,1
709.98,44.58,5,1
780.38,28.4,6,1
825.13,20.5,7,1
857.5,15.52,8,1
881.98,10.5,9,1
898.56,7.23,10,1
909.88,5.26,11,1
918.17,3.35,12,1
923.43,2.33,13,1
927.12,1.84,14,1
930.01,1.07,15,1
931.59,0.86,16,1
932.91,0.52,17,1
933.7,0.43,18,1
934.36,0.29,19,1
934.75,0.2,20,1
935.01,0.15,21,2
935.14,0.09,22,2
935.28,0.08,23,3
935.41,0.05,24,4
935.54,0,25,4
935.67,0.01,26,5
935.8,0.01,27,6
935.93,0,28,7
936.07,0.01,29,8
