uL_thio,current,n,change
0,151.54,1,1
287.01,92.13,2,1
461.52,67.8,3,1
589.96,41,4,1
667.6,33.22,5,1
730.51,25.07,6,1
778.01,17.17,7,1
810.52,13.93,8,1
836.84,10.6,9,1
856.84,7.61,10,1
871.19,6.02,11,1
882.5,4.96,12,1
891.85,2.85,13,1
897.24,3.02,14,1
902.9,1.95,15,1
906.59,1.24,16,1
908.82,1.03,17,1
910.67,0.67,18,1
911.85,0.54,19,1
912.77,0.39,20,1
913.43,0.3,21,1
913.96,0.22,22,1
914.35,0.17,23,2
914.62,0.11,24,2
914.75,0.08,25,3
914.88,0.05,26,4
915.01,0.02,27,5
915.14,0.03,28,6
915.27,0.02,29,7
