uL_thio,current,n,change
0,168.59,1,1
319.26,83.12,2,1
476.65,57.67,3,1
585.88,46.93,4,1
674.71,33.47,5,1
738.01,20.87,6,1
777.49,17.91,7,1
811.31,13.18,8,1
836.18,8.43,9,1
852.11,5.48,10,1
862.37,4.35,11,1
870.53,3.67,12,1
877.37,2.14,13,1
881.32,1.91,14,1
884.87,1.29,15,1
887.24,0.91,16,1
888.95,0.62,17,1
890.01,0.47,18,1
890.8,0.35,19,1
891.45,0.26,20,1
891.85,0.16,21,1
892.11,0.09,22,1
892.24,0.06,23,2
892.37,0.06,24,3
892.51,0.01,25,3
892.64,0.02,26,4
892.77,0.01,27,5
892.9,0,28,6
893.03,0,29,7
