uL_thio,current,n,change
0,150.92,1,1
285.83,82.5,2,1
442.17,48.41,3,1
533.9,45.32,4,1
619.7,28.53,5,1
673.66,20.74,6,1
712.87,15.16,7,1
741.56,10.06,8,1
760.51,8.4,9,1
776.44,6.35,10,1
788.41,4.33,11,1
796.57,3.18,12,1
802.49,2.2,13,1
806.57,1.83,14,1
809.99,1.17,15,1
812.1,0.97,16,1
813.94,0.65,17,1
815.13,0.51,18,1
816.05,0.3,19,1
816.57,0.44,20,1
817.36,0.23,21,1
817.76,0.12,22,1
817.89,0.11,23,2
818.02,0.09,24,3
818.15,0.06,25,4
818.28,0.03,26,5
818.42,0,27,6
818.55,0.01,28,7
818.68,0.01,29,8
