uL_thio,current,n,change
0,128.2,1,1
242.8,85.09,2,1
404.01,54.59,3,1
507.44,38.78,4,1
580.88,26.18,5,1
630.49,21.49,6,1
671.16,17.43,7,1
704.19,10.06,8,1
723.14,9.85,9,1
741.69,5.45,10,1
751.96,4.01,11,1
759.46,2.85,12,1
764.85,2.31,13,1
769.2,1.44,14,1
771.83,1.07,15,1
773.8,0.91,16,1
775.51,0.57,17,1
776.57,0.46,18,1
777.36,0.34,19,1
777.88,0.23,20,1
778.28,0.16,21,1
778.54,0.09,22,1
778.67,0.05,23,2
778.8,0.04,24,3
778.94,0.03,25,4
779.07,0,26,5
779.2,0.01,27,6
779.33,0.01,28,7
779.46,0.01,29,8
