uL_thio,current,n,change
0,142.28,1,1
269.38,107.2,2,1
472.44,69.78,3,1
604.57,56.32,4,1
711.29,41,5,1
788.94,23.59,6,1
833.55,18.09,7,1
867.77,14.29,8,1
894.74,9.08,9,1
911.85,7.48,10,1
925.93,4.31,11,1
934.09,4.02,12,1
941.59,3.23,13,1
947.65,1.88,14,1
951.2,1.55,15,1
954.1,0.9,16,1
955.81,0.72,17,1
957.12,0.48,18,1
957.91,0.35,19,1
958.57,0.26,20,1
958.96,0.19,21,1
959.23,0.13,22,1
959.49,0.08,23,1
959.62,0.05,24,2
959.75,0.03,25,3
959.89,0.02,26,4
960.02,0.04,27,5
960.15,0.01,28,6
960.28,0.02,29,7
