uL_thio,current,n,change
0,139.44,1,1
263.98,124.12,2,1
499.15,70.89,3,1
633.39,55.33,4,1
738.14,36.06,5,1
806.44,32.11,6,1
867.24,21.98,7,1
908.82,18.27,8,1
943.44,12.5,9,1
967.12,9.53,10,1
985.15,7.68,11,1
999.63,5.1,12,1
1009.24,4.06,13,1
1016.87,3.11,14,1
1022.66,2.16,15,1
1026.74,1.59,16,1
1029.63,1.13,17,1
1031.74,0.89,18,1
1033.32,0.69,19,1
1034.5,0.6,20,1
1035.56,0.43,21,1
1036.35,0.32,22,1
1036.87,0.15,23,1
1037.13,0.2,24,2
1037.4,0.16,25,3
1037.66,0.13,26,4
1037.79,0.08,27,4
1037.92,0.08,28,5
1038.06,0.06,29,6
