uL_thio,current,n,change
0,187.36,1,1
354.92,76.2,2,1
499.29,59.03,3,1
611.15,46.31,4,1
698.79,33.47,5,1
762.09,23.96,6,1
807.49,19.84,7,1
845,15.18,8,1
873.69,10.89,9,1
894.22,7.71,10,1
908.82,6.6,11,1
921.33,4.02,12,1
928.83,3.31,13,1
935.01,3.18,14,1
940.94,2.38,15,1
945.41,1.9,16,1
948.96,1.18,17,1
951.2,0.93,18,1
952.91,0.53,19,1
953.83,0.49,20,2
954.75,0.36,21,2
955.41,0.26,22,2
955.81,0.24,23,3
956.2,0.15,24,3
956.46,0.11,25,4
956.6,0.09,26,5
956.73,0.07,27,6
956.86,0.05,28,7
956.99,0.01,29,8
