uL_thio,current,n,change
0,103.5,1,1
190.55,83.49,2,1
436.64,51.75,3,1
589.17,28.65,4,1
673.52,19.65,5,1
709.71,19.39,6,1
745.38,11.45,7,1
766.43,12.12,8,1
788.67,6.38,9,1
800.39,5.25,10,1
809.99,4.94,11,1
819.07,3.75,12,1
825.92,2.64,13,1
830.65,2.06,14,1
834.34,1.78,15,1
837.63,0.79,16,1
839.08,0.95,17,1
840.79,0.6,18,1
841.84,0.47,19,1
842.63,0.36,20,1
842.76,0.37,21,2
842.89,0.3,22,2
843.02,0.3,23,3
843.16,0.3,24,4
843.29,0.23,25,4
843.42,0.22,26,5
843.55,0.2,27,6
843.68,0.22,28,7
843.81,0.15,29,7
