uL_thio,current,n,change
0,191.81,1,1
302.68,105.1,2,1
468.62,73.85,3,1
585.22,58.91,4,1
678.13,37.54,5,1
737.35,25.07,6,1
776.83,17.89,7,1
804.99,11.84,8,1
823.68,9.67,9,1
838.95,7.12,10,1
850.13,4.49,11,1
857.11,3.29,12,1
862.24,2.56,13,1
866.19,2.06,14,1
869.34,1.53,15,1
871.71,1.14,16,1
873.42,0.86,17,1
874.74,0.68,18,1
875.79,0.5,19,1
876.58,0.34,20,1
877.11,0.24,21,1
877.37,0.21,22,2
877.64,0.13,23,2
877.77,0.09,24,3
877.9,0.08,25,4
878.03,0.04,26,5
878.16,0.02,27,6
878.29,0.01,28,7
878.42,0,29,8
