dup stdev
0.351
0.040
0.954
0.079
0.240
0.371
0.663
0.631
0.320
0.126
0.346
0.042
3.109
0.467
0.394
0.494
0.170
0.787
0.455
0.129
0.144
0.371
0.620
0.202
0.467
0.297
1.217
0.189
0.270
0.148
0.055
0.165
0.322
0.204
0.641
0.023
0.361
0.270
0.494
0.310
0.117
0.127
0.390
0.414
0.363
0.076
0.692
0.202
0.087
0.091
0.178
0.373
0.287
0.091
0.113
0.739
0.255
0.208
0.222
0.010
0.419
0.042
1.208
0.575
0.680
0.354
0.275
0.276
0.427
0.022
0.821
0.141
0.162
4.060
0.576
0.233
0.355
0.396
0.064
0.004
0.569
0.006
0.128
0.385
0.621
0.059
0.090
0.010
0.006
0.370
0.162
0.431
0.049
0.219
0.331
0.023
0.430
0.214
0.057
0.491
0.120
0.144
0.051
0.494
0.088
0.525
0.393
0.061
0.163
0.123
0.211
0.055
0.013
0.247
0.193
0.272
0.162
0.108
0.123
0.086
0.317
0.204
0.228
0.391
0.220
0.139
0.267
0.221
0.377
0.354
0.110
0.240
0.425
0.194
0.151
0.209
0.352
0.132
0.087
0.173
0.125
0.013
0.384
0.409
0.373
0.379
0.071
0.130
0.233
0.258
0.387
0.054
0.072
0.186
0.024
0.209
0.064
0.237
0.412
0.090
0.107
0.013
0.001
0.027
0.275
0.118
0.202
0.087
0.214
0.371
0.086
0.019
0.073
0.331
0.078
0.353
0.277
0.305
0.042
0.245
0.104
0.467
0.067
0.223
0.220
0.111
0.083
0.238
0.300
0.453
0.230
